0.0000	-1.46953489e-11
0.0100	-2.00669860e-11
0.0200	-2.23395574e-11
0.0300	-2.16612182e-11
0.0400	-1.94075926e-11
0.0500	-1.70571880e-11
0.0600	-1.53722096e-11
0.0700	-1.43144699e-11
0.0800	-1.34598602e-11
0.0900	-1.24463165e-11
0.1000	-1.11696819e-11
0.1100	-9.72566954e-12
0.1200	-8.25277362e-12
0.1300	-6.81935811e-12
0.1400	-5.40400343e-12
0.1500	-3.93892313e-12
0.1600	-2.36314207e-12
0.1700	-6.51433135e-13
0.1800	1.18571345e-12
0.1900	3.11811219e-12
0.2000	5.11268107e-12
0.2100	7.14264820e-12
0.2200	9.18862082e-12
0.2300	1.12349207e-11
0.2400	1.32645325e-11
0.2500	1.52547739e-11
0.2600	1.71756940e-11
0.2700	1.89937459e-11
0.2800	2.06819284e-11
0.2900	2.22330448e-11
0.3000	2.36678059e-11
0.3100	2.50298732e-11
0.3200	2.63679754e-11
0.3300	2.77151695e-11
0.3400	2.90777193e-11
0.3500	3.04384279e-11
0.3600	3.17690577e-11
0.3700	3.30423695e-11
0.3800	3.42376234e-11
0.3900	3.53392704e-11
0.4000	3.63323270e-11
0.4100	3.71984483e-11
0.4200	3.79153107e-11
0.4300	3.84599869e-11
0.4400	3.88149983e-11
0.4500	3.89740328e-11
0.4600	3.89439726e-11
0.4700	3.87418407e-11
0.4800	3.83885641e-11
0.4900	3.79032853e-11
0.5000	3.73007300e-11
0.5100	3.65913631e-11
0.5200	3.57826292e-11
0.5300	3.48804295e-11
0.5400	3.38914593e-11
0.5500	3.28267963e-11
0.5600	3.17047156e-11
0.5700	3.05483795e-11
0.5800	2.93752680e-11
0.5900	2.81813120e-11
0.6000	2.69298776e-11
0.6100	2.55565831e-11
0.6200	2.39914289e-11
0.6300	2.21862749e-11
0.6400	2.01308317e-11
0.6500	1.78491063e-11
0.6600	1.53821560e-11
0.6700	1.27700669e-11
0.6800	1.00429876e-11
0.6900	7.22318687e-12
0.7000	4.33362684e-12
0.7100	1.40574343e-12
0.7200	-1.52030975e-12
0.7300	-4.40597648e-12
0.7400	-7.23156314e-12
0.7500	-1.00100650e-11
0.7600	-1.27860895e-11
0.7700	-1.56168851e-11
0.7800	-1.85456127e-11
0.7900	-2.15832007e-11
0.8000	-2.47083195e-11
0.8100	-2.78818270e-11
0.8200	-3.10639760e-11
0.8300	-3.42241544e-11
0.8400	-3.73398805e-11
0.8500	-4.03884512e-11
0.8600	-4.33383949e-11
0.8700	-4.61483234e-11
0.8800	-4.87774725e-11
0.8900	-5.12049768e-11
0.9000	-5.34466847e-11
0.9100	-5.55559615e-11
0.9200	-5.76036751e-11
0.9300	-5.96477202e-11
0.9400	-6.17107329e-11
0.9500	-6.37779120e-11
0.9600	-6.58118274e-11
0.9700	-6.77713509e-11
0.9800	-6.96233373e-11
0.9900	-7.13436724e-11
1.0000	-7.29112679e-11
1.0100	-7.43011033e-11
1.0200	-7.54813925e-11
1.0300	-7.64173044e-11
1.0400	-7.70802794e-11
1.0500	-7.74584497e-11
1.0600	-7.75619184e-11
1.0700	-7.74190160e-11
1.0800	-7.70655279e-11
1.0900	-7.65335592e-11
1.1000	-7.58458557e-11
1.1100	-7.50162853e-11
1.1200	-7.40531142e-11
1.1300	-7.29620845e-11
1.1400	-7.17493496e-11
1.1500	-7.04258014e-11
1.1600	-6.90118593e-11
1.1700	-6.75374743e-11
1.1800	-6.60311816e-11
1.1900	-6.44984827e-11
1.2000	-6.29010432e-11
1.2100	-6.11541235e-11
1.2200	-5.91509837e-11
1.2300	-5.68032807e-11
1.2400	-5.40729889e-11
1.2500	-5.09775745e-11
1.2600	-4.75700122e-11
1.2700	-4.39105843e-11
1.2800	-4.00478637e-11
1.2900	-3.60161683e-11
1.3000	-3.18458433e-11
1.3100	-2.75765076e-11
1.3200	-2.32623995e-11
1.3300	-1.89626793e-11
1.3400	-1.47180759e-11
1.3500	-1.05262220e-11
1.3600	-6.33381348e-12
1.3700	-2.05615155e-12
1.3800	2.38427141e-12
1.3900	7.02337240e-12
1.4000	1.18452040e-11
